,NaN
0.x45,NaN
0.47,0.47
0.47,0.47
0.4,0.4
0.4,0.4
0.x4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.9,0.9
0.5,0.5
0.5,0.5
0.x5,0.5
0.45,0.45
0.x45,0.45
0.45,0.45
0.x45,0.45
0.45,0.45
0.45,0.45
0.x45,0.45
0.45,0.45
0.45,0.45
0.45,0.45
0.x45,0.45
0.45,0.45
0.4x,0.45
0.4,0.4
0.4,0.4
0.4,0.4
0.6x,0.4
0.6x,0.4
0.x6x,0.4
0.6,0.6
0.x56,0.6
0.56,0.56
0.x5,0.56
0.934,0.934
0.934,0.934
0.x85,0.934
0.6x,0.934
0.6x,0.934
0.6x,0.934
0.7,0.7
0.x7,0.7
0.7,0.7
0.x,0.7
0.65,0.65
0.65,0.65
0.x6,0.65
0.6,0.6
0.x6,0.6
0.6,0.6
0.x67,0.6
0.67,0.67
0.67,0.67
0.63,0.63
0.x63,0.63
0.63,0.63
0.x65,0.63
0.65,0.65
0.65,0.65
0.6x,0.65
0.67,0.67
0.67,0.67
0.6,0.6
0.62,0.62
0.6,0.6
0.62,0.62
0.5,0.5
0.x5,0.5
0.5,0.5
0.6,0.6
0.64,0.64
0.64,0.64
0.64,0.64
0.64,0.64
0.64,0.64
0.64,0.64
0.64,0.64
0.64,0.64
0.64,0.64
0.66,0.66
0.66,0.66
0.66,0.66
0.x6,0.66
0.6,0.6
0.x6,0.6
0.6,0.6
0.5,0.5
0.5,0.5
0.5,0.5
0.56,0.56
0.x56,0.56
0.56,0.56
0.63,0.63
0.63,0.63
0.63,0.63
0.6,0.6
0.5,0.5
0.5,0.5
0.5,0.5
0.x56,0.5
0.56,0.56
0.x56,0.56
0.5,0.5
0.x5,0.5
0.5,0.5
0.63,0.63
0.63,0.63
0.63,0.63
0.65,0.65
0.x65,0.65
0.65,0.65
0.x66,0.65
0.66,0.66
0.66,0.66
0.66,0.66
0.57,0.57
0.x57,0.57
0.57,0.57
0.66,0.66
0.66,0.66
0.x66,0.66
0.6,0.6
0.53,0.53
0.53,0.53
0.53,0.53
0.56,0.56
0.x56,0.56
0.56,0.56
0.x57,0.56
0.57,0.57
0.x57,0.57
0.57,0.57
0.57,0.57
0.57,0.57
0.9,0.9
0.x4,0.9
0.4,0.4
0.5,0.5
0.5,0.5
0.x5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.x5,0.5
0.05,0.05
0.05,0.05
0.05,0.05
0.x84,0.05
0.34,0.34
0.34,0.34
0.36,0.36
0.36,0.36
0.x36,0.36
0.36,0.36
0.45,0.45
0.45,0.45
0.45,0.45
0.54,0.54
0.54,0.54
0.54,0.54
0.x57,0.54
0.57,0.57
0.x57,0.57
0.53,0.53
0.x53,0.53
0.53,0.53
0.53,0.53
0.5,0.5
0.5,0.5
0.5,0.5
0.45,0.45
0.45,0.45
0.45,0.45
0.5,0.5
0.5,0.5
0.5x,0.5
0.5,0.5
0.x53,0.5
0.53,0.53
0.x53,0.53
0.5,0.5
0.x5,0.5
0.5,0.5
0.x53,0.5
0.53,0.53
0.53,0.53
0.55,0.55
0.55,0.55
0.55,0.55
0.55,0.55
0.56,0.56
0.56,0.56
0.5x,0.56
0.45,0.45
0.x45,0.45
0.45,0.45
0.x53,0.45
0.53,0.53
0.x53,0.53
0.54,0.54
0.x54,0.54
0.54,0.54
0.5,0.5
0.5,0.5
0.5,0.5
